0.4377	0.00316		0		0.20	Hughes94
0.5488	0.00955		0		0.20	Hughes94
0.6515	0.02202		0		0.20	Hughes94
0.7981	0.05086		0		0.20	Hughes94
1.235	0.1490		0.023		0.02	2MASS
1.662	0.2171		0.024		0.02	2MASS
2.159	0.2355		0.021		0.02	2MASS	
3.3526	0.1324		0.023		0.02	WISE
4.6028	0.1112		0.020		0.03	WISE
9.	0.1769		0.0425		0.15	AKARI
11.561	0.1638		0.015		0.05	WISE
12.	0.2503		0.0		0.15	IRAS
22.088	0.2844		0.026		0.06	WISE
25.	0.3178		0.0		0.15	IRAS
70.	0.2296		0.017		0.20	Herschel
100.	0.2705		0.028 		0.20	Herschel
160.	0.4010		0.051		0.25	Herschel
250.	0.4136		0.0405		0.25	Herschel
350.	0.3948		0.0757		0.25	Herschel
892.8	0.16604		0.00037		0.10	Ansdell16
1250.	0.106		0.018		0.20	Nurnberger97
3300.	0.0095		0.0019		0.20	Lommen08
