| lambda |  Flux   |  F_Er   |F_Norm_Er|
| double | double  | double  | double  |
| micron |   Jy    |   Jy    |    Jy   |
  2.36000   6.17000   0.10000   0.10000 
  2.36025   6.17000   0.10000   0.10000 
  2.36050   6.16000   0.10000   0.10000 
  2.36075   6.15000   0.10000   0.10000 
  2.36100   6.14000   0.10000   0.10000 
  2.36125   6.13000   0.10000   0.10000 
  2.36150   6.11000   0.10000   0.10000 
  2.36175   6.09000   0.10000   0.10000 
  2.36200   6.07000   0.10000   0.10000 
  2.36225   6.05000   0.10000   0.10000 
  2.36250   6.03000   0.10000   0.10000 
  2.36275   6.01000   0.10000   0.10000 
  2.36300   6.01000   0.10000   0.10000 
  2.36325   6.01000   0.10000   0.10000 
  2.36350   6.01000   0.10000   0.10000 
  2.36375   6.03000   0.10000   0.10000 
  2.36400   6.05000   0.10000   0.10000 
  2.36425   6.07000   0.10000   0.10000 
  2.36450   6.08000   0.10000   0.10000 
  2.36475   6.10000   0.10000   0.10000 
  2.36500   6.11000   0.10000   0.10000 
  2.36525   6.12000   0.10000   0.10000 
  2.36550   6.13000   0.10000   0.10000 
  2.36575   6.13000   0.10000   0.10000 
  2.36600   6.13000   0.10000   0.10000 
  2.36625   6.13000   0.10000   0.10000 
  2.36650   6.14000   0.10000   0.10000 
  2.36675   6.14000   0.10000   0.10000 
  2.36700   6.13000   0.10000   0.10000 
  2.36725   6.13000   0.10000   0.10000 
  2.36750   6.12000   0.10000   0.10000 
  2.36775   6.10000   0.10000   0.10000 
  2.36800   6.09000   0.10000   0.10000 
  2.36825   6.08000   0.10000   0.10000 
  2.36850   6.06000   0.10000   0.10000 
  2.36875   6.06000   0.10000   0.10000 
  2.36900   6.06000   0.10000   0.10000 
  2.36925   6.07000   0.10000   0.10000 
  2.36950   6.08000   0.10000   0.10000 
  2.36975   6.09000   0.10000   0.10000 
  2.37000   6.11000   0.10000   0.10000 
  2.37025   6.12000   0.10000   0.10000 
  2.37050   6.13000   0.10000   0.10000 
  2.37075   6.13000   0.10000   0.10000 
  2.37100   6.13000   0.10000   0.10000 
  2.37125   6.12000   0.09000   0.09000 
  2.37150   6.12000   0.09000   0.09000 
  2.37175   6.11000   0.09000   0.09000 
  2.37200   6.11000   0.09000   0.09000 
  2.37225   6.12000   0.09000   0.09000 
  2.37250   6.13000   0.09000   0.09000 
  2.37275   6.15000   0.09000   0.09000 
  2.37300   6.17000   0.09000   0.09000 
  2.37325   6.19000   0.09000   0.09000 
  2.37350   6.21000   0.09000   0.09000 
  2.37375   6.24000   0.09000   0.09000 
  2.37400   6.26000   0.09000   0.09000 
  2.37425   6.27000   0.09000   0.09000 
  2.37450   6.28000   0.09000   0.09000 
  2.37475   6.27000   0.09000   0.09000 
  2.37500   6.26000   0.09000   0.09000 
  2.37525   6.25000   0.09000   0.09000 
  2.37550   6.22000   0.09000   0.09000 
  2.37575   6.20000   0.09000   0.09000 
  2.37600   6.18000   0.09000   0.09000 
  2.37625   6.15000   0.09000   0.09000 
  2.37650   6.14000   0.09000   0.09000 
  2.37675   6.13000   0.09000   0.09000 
  2.37700   6.12000   0.09000   0.09000 
  2.37725   6.12000   0.09000   0.09000 
  2.37750   6.12000   0.09000   0.09000 
  2.37775   6.12000   0.09000   0.09000 
  2.37800   6.13000   0.09000   0.09000 
  2.37825   6.13000   0.09000   0.09000 
  2.37850   6.13000   0.09000   0.09000 
  2.37875   6.13000   0.09000   0.09000 
  2.37900   6.12000   0.09000   0.09000 
  2.37925   6.11000   0.09000   0.09000 
  2.37950   6.09000   0.09000   0.09000 
  2.37975   6.08000   0.09000   0.09000 
  2.38000   6.08000   0.09000   0.09000 
  2.38025   6.07000   0.09000   0.09000 
  2.38050   6.08000   0.09000   0.09000 
  2.38075   6.08000   0.09000   0.09000 
  2.38100   6.09000   0.09000   0.09000 
  2.38125   6.11000   0.09000   0.09000 
  2.38150   6.12000   0.09000   0.09000 
  2.38175   6.13000   0.09000   0.09000 
  2.38200   6.15000   0.09000   0.09000 
  2.38225   6.16000   0.09000   0.09000 
  2.38250   6.17000   0.09000   0.09000 
  2.38275   6.19000   0.08000   0.08000 
  2.38300   6.20000   0.08000   0.08000 
  2.38325   6.21000   0.08000   0.08000 
  2.38350   6.22000   0.08000   0.08000 
  2.38375   6.24000   0.08000   0.08000 
  2.38400   6.24000   0.08000   0.08000 
  2.38425   6.25000   0.08000   0.08000 
  2.38450   6.26000   0.08000   0.08000 
  2.38475   6.26000   0.08000   0.08000 
  2.38500   6.27000   0.08000   0.08000 
  2.38525   6.27000   0.08000   0.08000 
  2.38550   6.27000   0.08000   0.08000 
  2.38575   6.27000   0.08000   0.08000 
  2.38600   6.27000   0.08000   0.08000 
  2.38625   6.27000   0.08000   0.08000 
  2.38650   6.27000   0.08000   0.08000 
  2.38675   6.28000   0.08000   0.08000 
  2.38700   6.28000   0.08000   0.08000 
  2.38725   6.28000   0.08000   0.08000 
  2.38750   6.29000   0.08000   0.08000 
  2.38775   6.29000   0.08000   0.08000 
  2.38800   6.29000   0.08000   0.08000 
  2.38825   6.29000   0.08000   0.08000 
  2.38850   6.29000   0.08000   0.08000 
  2.38875   6.29000   0.08000   0.08000 
  2.38900   6.28000   0.08000   0.08000 
  2.38925   6.26000   0.08000   0.08000 
  2.38950   6.25000   0.08000   0.08000 
  2.38975   6.23000   0.08000   0.08000 
  2.39000   6.21000   0.08000   0.08000 
  2.39025   6.19000   0.08000   0.08000 
  2.39050   6.17000   0.08000   0.08000 
  2.39075   6.16000   0.08000   0.08000 
  2.39100   6.15000   0.08000   0.08000 
  2.39125   6.14000   0.08000   0.08000 
  2.39150   6.13000   0.08000   0.08000 
  2.39175   6.12000   0.08000   0.08000 
  2.39200   6.11000   0.08000   0.08000 
  2.39225   6.10000   0.08000   0.08000 
  2.39250   6.09000   0.08000   0.08000 
  2.39275   6.08000   0.08000   0.08000 
  2.39300   6.07000   0.08000   0.08000 
  2.39325   6.07000   0.08000   0.08000 
  2.39350   6.06000   0.07000   0.07000 
  2.39375   6.06000   0.07000   0.07000 
  2.39400   6.06000   0.07000   0.07000 
  2.39425   6.07000   0.07000   0.07000 
  2.39450   6.08000   0.07000   0.07000 
  2.39475   6.09000   0.07000   0.07000 
  2.39500   6.10000   0.07000   0.07000 
  2.39525   6.11000   0.07000   0.07000 
  2.39550   6.12000   0.07000   0.07000 
  2.39575   6.12000   0.07000   0.07000 
  2.39600   6.13000   0.07000   0.07000 
  2.39625   6.12000   0.07000   0.07000 
  2.39650   6.12000   0.07000   0.07000 
  2.39675   6.12000   0.07000   0.07000 
  2.39700   6.11000   0.07000   0.07000 
  2.39725   6.11000   0.07000   0.07000 
  2.39750   6.11000   0.07000   0.07000 
  2.39775   6.11000   0.07000   0.07000 
  2.39800   6.11000   0.07000   0.07000 
  2.39825   6.12000   0.07000   0.07000 
  2.39850   6.13000   0.07000   0.07000 
  2.39875   6.14000   0.07000   0.07000 
  2.39900   6.16000   0.07000   0.07000 
  2.39925   6.17000   0.07000   0.07000 
  2.39950   6.18000   0.07000   0.07000 
  2.39975   6.18000   0.07000   0.07000 
  2.40000   6.18000   0.07000   0.07000 
  2.40025   6.18000   0.07000   0.07000 
  2.40050   6.18000   0.07000   0.07000 
  2.40075   6.18000   0.07000   0.07000 
  2.40100   6.17000   0.07000   0.07000 
  2.40125   6.17000   0.07000   0.07000 
  2.40150   6.18000   0.07000   0.07000 
  2.40175   6.18000   0.07000   0.07000 
  2.40200   6.19000   0.07000   0.07000 
  2.40225   6.20000   0.07000   0.07000 
  2.40250   6.21000   0.07000   0.07000 
  2.40275   6.22000   0.07000   0.07000 
  2.40300   6.24000   0.07000   0.07000 
  2.40325   6.25000   0.07000   0.07000 
  2.40350   6.26000   0.07000   0.07000 
  2.40375   6.27000   0.07000   0.07000 
  2.40400   6.28000   0.07000   0.07000 
  2.40425   6.29000   0.07000   0.07000 
  2.40450   6.29000   0.07000   0.07000 
  2.40475   6.30000   0.07000   0.07000 
  2.40500   6.31000   0.06000   0.06000 
  2.40525   6.31000   0.06000   0.06000 
  2.40550   6.31000   0.06000   0.06000 
  2.40575   6.31000   0.06000   0.06000 
  2.40600   6.31000   0.06000   0.06000 
  2.40625   6.30000   0.06000   0.06000 
  2.40650   6.29000   0.06000   0.06000 
  2.40675   6.28000   0.06000   0.06000 
  2.40700   6.27000   0.06000   0.06000 
  2.40725   6.25000   0.06000   0.06000 
  2.40750   6.24000   0.06000   0.06000 
  2.40775   6.23000   0.06000   0.06000 
  2.40800   6.22000   0.06000   0.06000 
  2.40825   6.21000   0.06000   0.06000 
  2.40850   6.20000   0.06000   0.06000 
  2.40875   6.20000   0.06000   0.06000 
  2.40900   6.20000   0.06000   0.06000 
  2.40925   6.21000   0.06000   0.06000 
  2.40950   6.21000   0.06000   0.06000 
  2.40975   6.22000   0.06000   0.06000 
  2.41000   6.23000   0.06000   0.06000 
  2.41025   6.24000   0.06000   0.06000 
  2.41050   6.25000   0.06000   0.06000 
  2.41075   6.26000   0.06000   0.06000 
  2.41100   6.28000   0.06000   0.06000 
  2.41125   6.29000   0.06000   0.06000 
  2.41150   6.31000   0.06000   0.06000 
  2.41175   6.33000   0.06000   0.06000 
  2.41200   6.35000   0.06000   0.06000 
  2.41225   6.36000   0.06000   0.06000 
  2.41250   6.38000   0.06000   0.06000 
  2.41275   6.40000   0.06000   0.06000 
  2.41300   6.42000   0.06000   0.06000 
  2.41325   6.43000   0.06000   0.06000 
  2.41350   6.44000   0.06000   0.06000 
  2.41375   6.46000   0.06000   0.06000 
  2.41400   6.47000   0.06000   0.06000 
  2.41425   6.48000   0.06000   0.06000 
  2.41450   6.49000   0.06000   0.06000 
  2.41475   6.50000   0.06000   0.06000 
  2.41500   6.50000   0.06000   0.06000 
  2.41525   6.51000   0.06000   0.06000 
  2.41550   6.51000   0.06000   0.06000 
  2.41575   6.50000   0.06000   0.06000 
  2.41600   6.50000   0.06000   0.06000 
  2.41625   6.49000   0.06000   0.06000 
  2.41650   6.49000   0.06000   0.06000 
  2.41675   6.48000   0.06000   0.06000 
  2.41700   6.48000   0.06000   0.06000 
  2.41725   6.47000   0.06000   0.06000 
  2.41750   6.47000   0.06000   0.06000 
  2.41775   6.46000   0.06000   0.06000 
  2.41800   6.46000   0.06000   0.06000 
  2.41825   6.45000   0.06000   0.06000 
  2.41850   6.44000   0.06000   0.06000 
  2.41875   6.43000   0.06000   0.06000 
  2.41900   6.42000   0.06000   0.06000 
