0.3597	2.9896		0.2754		0.10	Oudmaijer01
0.4377	6.9823		0.6431		0.10	Oudmaijer01
0.5488	6.6681		0.6142		0.10	Oudmaijer01
0.6515	6.3503		0.5849		0.10	Oudmaijer01
0.7981	5.3754		0.4951		0.10	Oudmaijer01
1.235	5.3026		0.1026		0.02	2MASS
1.662	6.2791		0.2082		0.02	2MASS
2.159	8.1733		0.1355		0.02	2MASS	
3.3526	9.9035		2.6270		0.02	WISE
4.6028	11.6893		3.5313		0.03	WISE
9.	15.02		0.0604		0.10	AKARI
11.561	17.5996		1.0374		0.05	WISE
22.088	16.9029		0.0934		0.06	WISE
70.	18.432		0.2814		0.20	Herschel
160.	21.4436		0.33397		0.25	Herschel
350.	10.66		0.72		0.25	Mannings94
443.	8.700		0.370		0	Sandell11
450.	5.56		0.40		0.25	Mannings94
600.	3.38		0.09		0.25	Mannings94
750.	2.65		0.08		0.25	Mannings94
800.	2.32		0.04		0.20	Mannings94
850.	1.92		0.03		0.20	Mannings94
869.	1.900		0.200		0	Sandell11
870.	1.910		0.020		0.15	Isella07
880.	1.822		0.005		0.10	Tripathi17
1072.6	0.719		0.072		0	Qi15
1100.	1.02		0.05		0.20	Mannings94
1250.	0.900		0.010		0.25	Henning98
1300.	0.78		0.031		0.20	Mannings94
1300.	0.780		0.031		0.20	Mannings97
1300.	0.705		0.012		0.15	Isella07
1300.	0.705		0.012		0.10	Isella09
1373.3	0.609		0.061		0	Qi15
2800.	0.0770		0.0022		0.10	Isella07
7000.	0.0045		0.0005		0.10	Isella07
