0.4377	0.03597		0.0017		0.20	Merin08
0.5488	0.05012		0.0023		0.20	Merin08
0.6515	0.11770		0.0054		0.20	Merin08
1.235	0.2628		0.026		0.02	2MASS
1.662	0.3438		0.031		0.02	2MASS
2.159	0.3053		0.023		0.02	2MASS	
3.3526	0.1846		0.023		0.02	WISE
3.550	0.177		0.0094		0.02	C2D
4.493	0.141		0.00704		0.02	C2D
4.6028	0.1314		0.020		0.03	WISE
5.731	0.140		0.00681		0.02	C2D
7.872	0.213		0.01120		0.02	C2D
9.	0.2623		0.0183		0.15	AKARI
11.561	0.2723		0.014		0.05	WISE
22.088	0.6154		0.019		0.06	WISE
23.68	0.590		0.0552		0.05	C2D
70.	1.2513		0.0249		0.20	Herschel
71.44	1.050		0.103		0.10	C2D
90.	1.47  		0.236 		0.25	AKARI
100.	1.4336		0.0322		0.25	Herschel
160.	1.5520		0.0836		0.25	Herschel
892.8	0.17681		0.00056		0.10	Ansdell16
6813.	0.0012		0.0001		0.10	Ubach17
