0.3597	0.0160		0		0.50	Gras-Velazquez05
0.4377	0.0698		0		0.50	Gras-Velazquez05
0.5488	0.1170		0		0.50	Gras-Velazquez05
0.6515	0.1865		0		0.50	Gras-Velazquez05
0.7981	0.2847		0		0.50	Gras-Velazquez05
1.235	0.5125		0.026		0.02	2MASS
1.662	0.7598		0.042		0.02	2MASS
2.159	0.9307		0.024		0.02	2MASS	
3.3526	1.2308		0.122		0.02	WISE
4.6028	1.7068		0.070		0.03	WISE
9.	1.9620		0.287		0.15	AKARI
11.561	2.3589		0.012		0.05	WISE
18.	3.310 		0.118 		0.15	AKARI
22.088	4.5621		0.010		0.06	WISE
65.	3.893		1.070		0.20	AKARI
90.	4.816		0.070		0.25	AKARI
140.	7.091		1.920		0.25	AKARI
892.8	0.4269		0.00056		0.10	Ansdell16
1400.	0.158		0.0045		0.20	Lommen08
3300.	0.0156		0.001		0.20	Lommen08
7000.	0.00183		0.00025		0.10	Lommen07
7300.	0.00152		0.00024		0.10	Lommen07
