0.5488	0.0249		0		0.3	Padgett06
0.6515	0.0464		0		0.3	Padgett06
0.7981	0.0884		0		0.3	Padgett06
1.235	0.1695		0.024		0.02	2MASS
1.662	0.2383		0.022		0.02	2MASS
2.159	0.2403		0.023		0.02	2MASS	
3.3526	0.2250		0.025		0.02	WISE
3.550	0.178		0.0096		0.02	C2D
4.493	0.157		0.00797		0.02	C2D
4.6028	0.1866		0.020		0.03	WISE
5.731	0.136		0.00698		0.02	C2D
7.872	0.184		0.00909		0.02	C2D
9.	0.2701		0.0339		0.15	AKARI
11.561	0.1629		0.017		0.05	WISE
18.	0.351		0.0076		0.15	AKARI
22.088	0.3045		0.018		0.06	WISE
23.68	0.326		0.0301		0.05	C2D
70.	0.5216		0.014		0.20	Herschel
90.	0.5714		0.0315		0.25	AKARI
100.	0.5112		0.0245		0.25	Herschel
160.	0.5373		0.0479		0.25	Herschel
250.	0.5564		0.0253		0.25	Herschel
350.	0.5032		0.0281		0.25	Herschel
500.	0.3689		0.0265		0.25	Herschel
892.8	0.18112		0.00033		0.10	Ansdell16
