0.44	1.04e-1	1.73e-1	2.29e-1
0.48	1.37e-1	1.86e-1	2.80e-1
0.55	1.75e-1	2.65e-1	4.25e-1
0.62	3.38e-1	3.93e-1	6.58e-1
0.76	3.40e-1	4.67e-1	7.05e-1
1.24	1.	1.	1.
1.66	1.25	1.28	1.39
2.16	1.19	1.26	1.54
3.35	7.87e-1	1.02	1.69
3.55	7.35e-1	9.43e-1	1.52
4.49	7.12e-1	8.97e-1	2.02
4.60	7.79e-1	1.06	1.67
5.7	5.81e-1	7.60e-1	2.14
7.9	6.14e-1	8.91e-1	2.42
9.0	8.62e-1	1.31	2.45
11.6	8.52e-1	1.20	2.15
18.	1.17	1.75	2.96
22.	1.25	1.68	2.33
24.	1.03	1.42	2.05
70.	1.37	2.29	5.94
100.	1.35	2.10	4.70
160.	1.12	2.12	2.78
250.	4.83e-1	1.65	2.04
350.	1.12	1.20	1.94
500.	5.08e-1	7.55e-1	1.41
870.	9.35e-2	1.78e-1	3.02e-1
887.	4.42e-2	1.05e-1	2.53e-1
