Name, offsetx (arcsec), offsety(arcsec), PA, incl
AS_209,1.7000e-03,-3.2000e-03,85.8,34.9
DoAr_25,3.7500e-02,-4.9100e-01,110.3,66.7
DoAr_33,4.4700e-03,-2.4000e-03,81.1,41.8
Elias_20,-5.4400e-02,-4.9100e-01,153.2,49.0
Elias_24,1.1080e-01,-3.8680e-01,45.7,29.0
Elias_27,0.0000e+00,-3.0000e-03,118.5,56.7
GW_Lup,-2.4000e-03,9.0000e-04,37.7,38.7
HD_142666,1.1790e-02,1.2810e-02,162.2,61.7
HD_143006,-5.9000e-03,2.3400e-02,168.6,18.5
HD_163296,-2.7000e-03,7.7000e-03,133.3,46.7
IM_Lup,5.0000e-04,0.0000e+00,144.6,47.4
MY_Lup,-7.4880e-02,5.9910e-02,58.8,73.2
RU_Lup,-1.7100e-02,8.8100e-02,121.0,18.9
SR_4,-6.3600e-02,-5.0900e-01,43.7,24.2
Sz_114,-1.1000e-03,3.6000e-03,165.3,21.6
Sz_129,7.1000e-03,3.9000e-03,154.6,31.8
Wa_Oph_6,-2.4700e-01,-3.5600e-01,174.2,47.3
WSB_52,-1.1640e-01,-4.3590e-01,138.2,54.4
